FromNode,ToNode,Distance_Meters,Time_Seconds
0.0,28.0,24295.76,971.83
28.0,0.0,24295.76,971.83
0.0,98.0,27172.41,1222.76
98.0,0.0,27172.41,1222.76
0.0,92.0,44877.75,2019.5
92.0,0.0,44877.75,2019.5
28.0,6.0,47228.55,1889.14
6.0,28.0,47228.55,1889.14
28.0,49.0,34402.06,1376.08
49.0,28.0,34402.06,1376.08
1.0,34.0,47274.45,1890.98
34.0,1.0,47274.45,1890.98
1.0,3596.0,39034.69,1561.39
3596.0,1.0,39034.69,1561.39
1.0,98.0,67854.98,2714.2
98.0,1.0,67854.98,2714.2
1.0,6.0,44778.52,1791.14
6.0,1.0,44778.52,1791.14
34.0,26.0,78192.02,3127.68
26.0,34.0,78192.02,3127.68
34.0,39.0,64459.02,2900.66
39.0,34.0,64459.02,2900.66
3596.0,3535.0,36065.14,1442.61
3535.0,3596.0,36065.14,1442.61
3596.0,3750.0,46777.56,2104.99
3750.0,3596.0,46777.56,2104.99
98.0,92.0,46962.89,1878.52
92.0,98.0,46962.89,1878.52
98.0,3536.0,68074.66,2722.99
3536.0,98.0,68074.66,2722.99
98.0,1204.0,143828.5,5753.14
1204.0,98.0,143828.5,5753.14
6.0,9.0,56564.22,2262.57
9.0,6.0,56564.22,2262.57
6.0,191.0,49370.87,1974.83
191.0,6.0,49370.87,1974.83
3.0,107.0,43701.78,1748.07
107.0,3.0,43701.78,1748.07
3.0,19.0,51575.47,2063.02
19.0,3.0,51575.47,2063.02
3.0,43.0,46768.18,1870.73
43.0,3.0,46768.18,1870.73
3.0,78.0,88066.2,3522.65
78.0,3.0,88066.2,3522.65
3.0,192.0,68612.77,2744.51
192.0,3.0,68612.77,2744.51
3.0,15.0,60457.83,2418.31
15.0,3.0,60457.83,2418.31
3.0,18.0,113510.72,4540.43
18.0,3.0,113510.72,4540.43
107.0,10.0,122456.58,4898.26
10.0,107.0,122456.58,4898.26
107.0,135.0,20931.25,837.25
135.0,107.0,20931.25,837.25
19.0,74.0,45414.81,1816.59
74.0,19.0,45414.81,1816.59
19.0,192.0,33942.72,1357.71
192.0,19.0,33942.72,1357.71
19.0,110.0,29811.71,1192.47
110.0,19.0,29811.71,1192.47
19.0,106.0,54324.45,2172.98
106.0,19.0,54324.45,2172.98
19.0,31.0,72855.37,2914.21
31.0,19.0,72855.37,2914.21
19.0,54.0,57304.91,2292.2
54.0,19.0,57304.91,2292.2
